cve_munedo,Periodo,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados
4003,202009,2,9,20,0,2,2,278,1772
4004,202004,3,8,0,0,0,2,0,3
4004,202005,25,15,0,2,0,13,2,28
4004,202006,62,30,0,12,0,27,14,90
4004,202007,94,53,1,20,0,8,34,184
4004,202008,42,67,1,13,1,4,47,226
4004,202009,0,2,4,0,0,0,47,226
4005,202003,0,1,0,0,0,0,0,0
4005,202004,2,1,0,0,0,1,0,2
4005,202005,18,11,0,1,0,6,1,20
4005,202006,42,22,0,7,0,26,8,62
4005,202007,81,26,2,14,0,24,22,143
4005,202008,74,55,3,2,10,28,24,217
4005,202009,1,0,0,0,1,1,24,218
4006,202004,0,2,0,0,0,0,0,0
4006,202005,2,9,0,1,0,1,1,2
4006,202006,23,13,0,1,0,6,2,25
4006,202007,80,53,0,10,0,39,12,105
4006,202008,42,55,1,6,2,5,18,147
4006,202009,0,0,1,0,0,0,18,147
4007,202003,0,1,0,0,0,0,0,0
4007,202004,0,2,0,0,0,0,0,0
4007,202005,7,11,0,2,0,1,2,7
4007,202006,0,47,0,0,0,0,2,7
4007,202007,31,29,0,0,0,2,2,38
4007,202008,4,0,0,1,0,0,3,42
4008,202004,1,0,0,0,0,1,0,1
4008,202005,6,2,0,1,0,5,1,7
4008,202006,30,11,0,2,0,11,3,37
4008,202007,11,4,0,1,0,4,4,48
4008,202008,4,12,0,0,1,1,4,52
4009,202004,0,11,0,0,0,0,0,0
4009,202005,16,70,0,0,0,14,0,16
4009,202006,175,177,0,8,0,60,8,191
4009,202007,179,100,2,24,0,38,32,370
4009,202008,85,387,2,2,7,17,34,455
4009,202009,1,10,19,0,0,0,34,456
4010,202003,0,1,0,0,0,0,0,0
4010,202004,1,4,0,1,0,1,1,1
4010,202005,5,15,0,1,0,1,2,6
4010,202006,16,26,0,2,0,13,4,22
4010,202007,9,8,0,0,0,1,4,31
4010,202008,9,3,1,2,1,5,6,40
4010,202009,0,0,1,0,0,0,6,40
4011,202004,10,15,0,2,0,5,2,10
4011,202005,16,34,0,2,0,0,4,26
4011,202006,15,11,0,1,0,3,5,41
4011,202007,43,14,0,9,0,15,14,84
4011,202008,45,71,1,2,1,3,16,129
4011,202009,0,1,2,0,0,0,16,129
5001,202004,0,2,0,0,0,0,0,0
5002,202001,0,18,0,0,0,0,0,0
5002,202002,0,17,0,0,0,0,0,0
5002,202003,0,26,0,0,0,0,0,0
5002,202004,7,125,0,3,0,3,3,7
5002,202005,28,113,4,4,0,20,7,35
5002,202006,512,262,23,44,0,292,51,547
5002,202007,855,394,33,102,0,201,153,1402
5002,202008,233,163,26,14,40,65,167,1635
5002,202009,1,0,30,0,1,1,167,1636
5003,202003,0,5,0,0,0,0,0,0
5003,202004,1,17,0,0,0,0,0,1
5003,202005,1,25,0,0,0,1,0,2
5003,202006,15,40,3,0,0,9,0,17
5003,202007,111,28,7,4,0,38,4,128
5003,202008,96,44,37,0,7,26,4,224
5003,202009,0,0,12,0,0,0,4,224
5004,202004,2,15,1,0,0,0,0,2
5004,202005,0,8,0,0,0,0,0,2
5004,202006,11,13,0,0,0,5,0,13
5004,202007,5,11,2,0,0,1,0,18
5004,202008,17,28,2,0,7,9,0,35
5004,202009,0,0,1,0,0,0,0,35
5005,202004,0,4,0,0,0,0,0,0
5005,202006,0,2,0,0,0,0,0,0
5005,202007,1,0,0,1,0,1,1,1
5005,202008,1,0,0,0,1,1,1,2
5006,202003,2,0,0,1,0,2,1,2
5006,202004,9,33,0,2,0,2,3,11
5006,202005,8,15,0,0,0,1,3,19
5006,202006,8,9,0,0,0,3,3,27
5006,202007,26,11,0,1,0,9,4,53
5006,202008,46,18,6,1,8,22,5,99
5006,202009,1,2,6,0,1,1,5,100
5007,202004,2,38,0,0,0,0,0,2
5007,202005,11,111,0,0,0,0,0,13
5007,202006,8,62,0,0,0,5,0,21
5007,202007,20,34,1,2,0,10,2,41
5007,202008,73,46,2,0,19,28,2,114
5007,202009,0,0,3,0,0,0,2,114
5008,202004,2,3,0,0,0,0,0,2
5008,202005,0,1,0,0,0,0,0,2
5008,202006,0,1,0,0,0,0,0,2
5008,202007,1,1,0,0,0,0,0,3
5008,202008,3,1,0,0,2,2,0,6
5009,202003,0,3,0,0,0,0,0,0
5009,202004,2,23,0,0,0,1,0,2
5009,202005,63,56,2,4,0,38,4,65
5009,202006,153,113,14,12,0,70,16,218
5009,202007,375,212,25,23,0,117,39,593
5009,202008,113,226,16,7,5,17,46,706
5009,202009,2,5,17,0,2,2,46,708
5010,202001,0,2,0,0,0,0,0,0
5010,202003,8,11,0,1,0,8,1,8
5010,202004,24,126,0,2,0,5,3,32
5010,202005,25,60,0,0,0,14,3,57
5010,202006,51,65,0,7,0,30,10,108
5010,202007,193,104,1,14,0,59,24,301
5010,202008,170,71,11,5,40,74,29,471
5010,202009,2,2,15,0,0,0,29,473
5011,202004,0,6,0,0,0,0,0,0
5011,202005,1,6,0,0,0,0,0,1
5011,202006,0,12,1,0,0,0,0,1
5011,202007,5,40,0,0,0,2,0,6
5011,202008,7,18,0,0,3,4,0,13
5011,202009,0,0,1,0,0,0,0,13
5012,202006,2,1,0,0,0,2,0,2
5012,202007,2,1,0,0,0,1,0,4
5012,202008,0,1,2,0,0,0,0,4
5013,202005,0,5,0,0,0,0,0,0
5013,202008,3,1,2,0,3,3,0,3
5014,202001,0,1,0,0,0,0,0,0
5014,202003,1,1,0,1,0,1,1,1
5014,202004,0,1,0,0,0,0,1,1
5014,202006,2,2,0,1,0,2,2,3
5014,202007,5,3,0,0,0,1,2,8
5014,202008,22,0,1,0,0,0,2,30
5015,202004,1,0,0,1,0,1,1,1
5015,202005,1,1,0,0,0,0,1,2
5015,202007,0,2,0,0,0,0,1,2
5015,202008,0,3,0,0,0,0,1,2
5016,202004,0,5,0,0,0,0,0,0
5016,202005,0,37,0,0,0,0,0,0
5016,202006,0,6,0,0,0,0,0,0
5016,202007,8,12,0,1,0,5,1,8
5016,202008,8,2,0,0,0,1,1,16
5017,202003,1,4,0,1,0,1,1,1
5017,202004,15,78,0,3,0,3,4,16
5017,202005,40,140,4,2,0,21,6,56
5017,202006,149,200,13,13,0,70,19,205
5017,202007,191,157,15,15,0,59,34,396
5017,202008,114,136,34,5,12,21,39,510
5017,202009,3,2,10,0,2,2,39,513
5018,202001,0,1,0,0,0,0,0,0
5018,202002,0,1,0,0,0,0,0,0
5018,202003,31,77,0,8,0,29,8,31
5018,202004,176,645,0,23,0,42,31,207
5018,202005,78,251,2,8,0,13,39,285
5018,202006,120,228,2,15,0,66,54,405
5018,202007,581,381,10,35,0,234,89,986
5018,202008,1050,406,70,55,201,417,144,2036
5018,202009,25,20,79,0,25,25,144,2061
5019,202003,1,0,0,0,0,1,0,1
5019,202004,0,6,0,0,0,0,0,1
5019,202005,1,2,0,1,0,0,1,2
5019,202006,8,14,3,0,0,6,1,10
5019,202007,21,20,7,0,0,7,1,31
5019,202008,14,16,11,1,1,3,2,45
5020,202001,0,1,0,0,0,0,0,0
5020,202002,0,2,0,0,0,0,0,0
5020,202003,1,13,0,1,0,1,1,1
5020,202004,3,32,0,1,0,2,2,4
5020,202005,4,30,0,1,0,3,3,8
5020,202006,117,125,5,5,0,60,8,125
5020,202007,222,81,10,20,0,66,28,347
5020,202008,237,194,10,11,51,78,39,584
5020,202009,6,4,28,0,4,4,39,590
5021,202004,1,10,0,0,0,0,0,1
5021,202005,1,4,0,0,0,0,0,2
5021,202006,1,1,0,0,0,1,0,3
5021,202007,11,7,0,2,0,7,2,14
5021,202008,18,8,1,0,0,4,2,32
5021,202009,0,0,2,0,0,0,2,32
5022,202004,2,15,0,0,0,0,0,2
5022,202005,3,26,0,0,0,2,0,5
5022,202006,25,66,0,3,0,19,3,30
5022,202007,70,35,4,4,0,22,7,100
5022,202008,69,30,26,6,6,18,13,169
5022,202009,1,0,8,0,1,1,13,170
5023,202004,1,2,0,0,0,0,0,1
5023,202005,24,50,4,0,0,12,0,25
5023,202006,6,32,0,0,0,2,0,31
5023,202007,2,4,0,0,0,2,0,33
5023,202008,12,13,1,0,1,2,0,45
5023,202009,0,0,2,0,0,0,0,45
5024,202003,0,1,0,0,0,0,0,0
5024,202004,0,6,0,0,0,0,0,0
5024,202005,7,32,0,1,0,4,1,7
5024,202006,28,184,0,1,0,22,2,35
5024,202007,128,533,1,3,0,54,5,163
5024,202008,101,306,1,3,17,32,8,264
5024,202009,1,32,4,0,1,1,8,265
5025,202001,0,9,0,0,0,0,0,0
5025,202002,0,7,0,0,0,0,0,0
5025,202003,4,34,0,0,0,4,0,4
5025,202004,44,207,0,2,0,14,2,48
5025,202005,41,297,0,0,0,20,2,89
5025,202006,314,1123,3,13,0,210,15,403
5025,202007,1569,387,85,56,0,679,71,1972
5025,202008,1057,337,263,45,49,121,116,3029
5025,202009,9,4,40,0,6,6,116,3038
5026,202005,0,1,0,0,0,0,0,0
5026,202006,8,1,3,0,0,7,0,8
5026,202007,3,2,5,0,0,1,0,11
5026,202008,0,2,1,0,0,0,0,11
5026,202009,0,0,1,0,0,0,0,11
5027,202003,0,10,0,0,0,0,0,0
5027,202004,7,38,0,0,0,0,0,7
5027,202005,5,31,2,0,0,2,0,12
5027,202006,18,37,5,3,0,12,3,30
5027,202007,41,76,7,6,0,16,9,71
5027,202008,46,50,11,6,6,10,15,117
5027,202009,0,0,3,0,0,0,15,117
5028,202001,0,19,0,0,0,0,0,0
5028,202002,0,18,0,0,0,0,0,0
5028,202003,0,9,0,0,0,0,0,0
5028,202004,1,17,0,0,0,0,0,1
5028,202005,18,90,0,0,0,16,0,19
5028,202006,273,137,7,9,0,133,9,292
5028,202007,350,127,13,25,0,135,34,642
5028,202008,209,202,15,13,36,63,47,851
5028,202009,0,0,17,0,0,0,47,851
5029,202003,0,1,0,0,0,0,0,0
5029,202004,8,14,0,2,0,4,2,8
5029,202005,12,98,0,0,0,1,2,20
5029,202006,7,16,0,0,0,2,2,27
5029,202007,13,7,0,0,0,8,2,40
5029,202008,27,11,0,0,4,11,2,67
5029,202009,0,0,5,0,0,0,2,67
5030,202001,0,10,0,0,0,0,0,0
