cve_municipio,Municipio,cve_estado,Estado,CaptacionFeb20,CaptacionAgo20,CrecCaptacion2020,VarCaptacion2020,CarteraFeb20,CarteraAgo20,CrecCartera2020,VarCartera2020,poblacion,defuncionesAgo20,defuncionesTotales20,confirmadosAgo20,confirmadosTotales20,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados,Activos_100_mil_hab,Casos_100_mil_hab,Muertes_100_mil_casos
4005.0,HECELCHAKAN,4.0,CAMPECHE,12.77,13.01,0.2400000000000002,1.8794048551292075,113.2,106.18,-7.019999999999996,-6.20141342756183,34683.0,24.0,31.0,217.0,243.0,74.0,55.0,3.0,2.0,10.0,28.0,24.0,217.0,80.73119395669347,625.6667531643745,11059.907834101383
4006.0,HOPELCHEN,4.0,CAMPECHE,159.6,156.93,-2.6699999999999875,-1.6729323308270594,74.82,69.42,-5.3999999999999915,-7.217321571772239,44051.0,17.0,20.0,147.0,156.0,42.0,55.0,1.0,6.0,2.0,5.0,18.0,147.0,11.350480125309302,333.70411568409344,12244.897959183672
4007.0,PALIZADA,4.0,CAMPECHE,86.52,104.35,17.83,20.60795191863154,30.48,27.38,-3.1000000000000014,-10.17060367454069,9868.0,3.0,3.0,44.0,49.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,42.0,0.0,425.6181597081476,7142.857142857142
4008.0,TENABO,4.0,CAMPECHE,0.14,0.12,-0.020000000000000018,-14.285714285714302,31.78,29.61,-2.1700000000000017,-6.828193832599128,11930.0,4.0,5.0,51.0,55.0,4.0,12.0,0.0,0.0,1.0,1.0,4.0,52.0,8.382229673093043,435.8759430008382,7692.307692307692
4009.0,ESCARCEGA,4.0,CAMPECHE,608.31,709.81,101.5,16.685571501372664,177.86,160.1,-17.76000000000002,-9.985381760935574,63495.0,36.0,38.0,458.0,502.0,85.0,387.0,2.0,2.0,7.0,17.0,34.0,455.0,26.773761713520752,716.5918576265848,7472.527472527472
4010.0,CALAKMUL,4.0,CAMPECHE,36.54,45.73,9.189999999999998,25.15051997810618,31.18,29.37,-1.8099999999999987,-5.80500320718409,31723.0,6.0,8.0,40.0,65.0,9.0,3.0,1.0,2.0,1.0,5.0,6.0,40.0,15.76143492103521,126.09147936828168,15000.0
4011.0,CANDELARIA,4.0,CAMPECHE,53.12,62.72,9.600000000000001,18.07228915662651,51.61,42.72,-8.89,-17.225343925595816,48722.0,18.0,21.0,130.0,142.0,45.0,71.0,1.0,2.0,1.0,3.0,16.0,129.0,6.157382701859529,264.76745617995977,12403.100775193798
5001.0,ABASOLO,5.0,COAHUILA,0.02,0.03,0.009999999999999998,50.0,3.76,3.29,-0.46999999999999975,-12.49999999999999,1130.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002.0,ACUÑA,5.0,COAHUILA,2761.48,3035.65,274.1700000000001,9.928371742688702,614.34,520.9,-93.44000000000005,-15.209818667187559,163157.0,189.0,215.0,1656.0,1967.0,233.0,163.0,26.0,14.0,40.0,65.0,167.0,1635.0,39.83892814896082,1002.1022695930913,10214.06727828746
5003.0,ALLENDE,5.0,COAHUILA,866.08,887.58,21.5,2.4824496582301903,177.75,161.89,-15.860000000000014,-8.922644163150494,24705.0,5.0,11.0,236.0,372.0,96.0,44.0,37.0,0.0,7.0,26.0,4.0,224.0,105.24185387573365,906.6990487755515,1785.7142857142856
